Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Heart attack,shortness of breath,sweating,chest discomfort,,,,,,,,,,,,,,
Heart attack,nausea,sweating,chest discomfort,,,,,,,,,,,,,,
Heart attack,nausea,shortness of breath,chest discomfort,,,,,,,,,,,,,,
Heart attack,nausea,shortness of breath,sweating,,,,,,,,,,,,,,
Heart attack,nausea,shortness of breath,sweating,chest discomfort,,,,,,,,,,,,,
Heart attack,shortness of breath,sweating,chest discomfort,,,,,,,,,,,,,,
Heart attack,nausea,sweating,chest discomfort,,,,,,,,,,,,,,
Heart attack,nausea,shortness of breath,chest discomfort,,,,,,,,,,,,,,
Varicose veins,fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf,,,,,,,,,,
Varicose veins,fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf,,,,,,,,,,
Varicose veins,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf,,,,,,,,,,,
Varicose veins,fatigue,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf,,,,,,,,,,,
Varicose veins,fatigue,cramps,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf,,,,,,,,,,,
Varicose veins,fatigue,cramps,bruising,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf,,,,,,,,,,,
Varicose veins,fatigue,cramps,bruising,obesity,swollen_blood_vessels,prominent_veins_on_calf,,,,,,,,,,,
Varicose veins,fatigue,cramps,bruising,obesity,swollen_legs,prominent_veins_on_calf,,,,,,,,,,,
Varicose veins,fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,,,,,,,,,,,
Varicose veins,fatigue,cramps,bruising,obesity,swollen_legs,prominent_veins_on_calf,,,,,,,,,,,
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings,tiredness,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation,,,,
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings,tiredness,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation,,,,
Hypothyroidism,weight_gain,cold_hands_and_feets,mood_swings,tiredness,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation,,,,,
Hypothyroidism,weight_gain,cold_hands_and_feets,mood_swings,tiredness,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation,,,,,
Hypothyroidism,fatigue,cold_hands_and_feets,mood_swings,tiredness,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation,,,,,
Hypothyroidism,fatigue,weight_gain,mood_swings,tiredness,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation,,,,,
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,tiredness,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation,,,,,
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation,,,,,
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings,tiredness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation,,,,,
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings,tiredness,dizziness,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation,,,,,
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,rapid heartbeat,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation,,,,,,
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,rapid heartbeat,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation,,,,,,
Hyperthyroidism,mood_swings,weight_loss,restlessness,sweating,diarrhoea,rapid heartbeat,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation,,,,,,,
Hyperthyroidism,fatigue,weight_loss,restlessness,sweating,diarrhoea,rapid heartbeat,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation,,,,,,,
Hyperthyroidism,fatigue,mood_swings,restlessness,sweating,diarrhoea,rapid heartbeat,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation,,,,,,,
Hyperthyroidism,fatigue,mood_swings,weight_loss,sweating,diarrhoea,rapid heartbeat,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation,,,,,,,
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness,diarrhoea,rapid heartbeat,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation,,,,,,,
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness,sweating,rapid heartbeat,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation,,,,,,,
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation,,,,,,,
Hyperthyroidism,fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,rapid heartbeat,muscle_weakness,irritability,abnormal_menstruation,,,,,,,
Hypoglycemia,nausea,fatigue,anxiety,sweating,head pain,nausea,blurred_and_distorted_vision,excessive_hunger,slurred_speech,irritability,palpitations,,,,,,
Hypoglycemia,nausea,fatigue,anxiety,sweating,head pain,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations,,,,,
Hypoglycemia,nausea,fatigue,anxiety,sweating,head pain,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations,,,,,
Hypoglycemia,fatigue,anxiety,sweating,head pain,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations,,,,,,
Hypoglycemia,nausea,anxiety,sweating,head pain,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations,,,,,,
Hypoglycemia,nausea,fatigue,sweating,head pain,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations,,,,,,
Hypoglycemia,nausea,fatigue,anxiety,head pain,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations,,,,,,
Hypoglycemia,nausea,fatigue,anxiety,sweating,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations,,,,,,
Hypoglycemia,nausea,fatigue,anxiety,sweating,head pain,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations,,,,,,
Hypoglycemia,nausea,fatigue,anxiety,sweating,head pain,nausea,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations,,,,,,
Osteoarthristis,joint ache,neck_pain,knee_pain,hip_joint_pain,swelling_joints,pain while walking,,,,,,,,,,,
Osteoarthristis,joint ache,neck_pain,knee_pain,hip_joint_pain,swelling_joints,pain while walking,,,,,,,,,,,
Osteoarthristis,neck_pain,knee_pain,hip_joint_pain,swelling_joints,pain while walking,,,,,,,,,,,,
Osteoarthristis,joint ache,knee_pain,hip_joint_pain,swelling_joints,pain while walking,,,,,,,,,,,,
Osteoarthristis,joint ache,neck_pain,hip_joint_pain,swelling_joints,pain while walking,,,,,,,,,,,,
Osteoarthristis,joint ache,neck_pain,knee_pain,swelling_joints,pain while walking,,,,,,,,,,,,
Osteoarthristis,joint ache,neck_pain,knee_pain,hip_joint_pain,pain while walking,,,,,,,,,,,,
Osteoarthristis,joint ache,neck_pain,knee_pain,hip_joint_pain,swelling_joints,,,,,,,,,,,,
Osteoarthristis,joint ache,neck_pain,knee_pain,hip_joint_pain,swelling_joints,pain while walking,,,,,,,,,,,
Osteoarthristis,joint ache,neck_pain,knee_pain,hip_joint_pain,swelling_joints,pain while walking,,,,,,,,,,,
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,pain while walking,,,,,,,,,,,,
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,pain while walking,,,,,,,,,,,,
Arthritis,stiff_neck,swelling_joints,movement_stiffness,pain while walking,,,,,,,,,,,,,
Arthritis,muscle_weakness,swelling_joints,movement_stiffness,pain while walking,,,,,,,,,,,,,
Arthritis,muscle_weakness,stiff_neck,movement_stiffness,pain while walking,,,,,,,,,,,,,
Arthritis,muscle_weakness,stiff_neck,swelling_joints,pain while walking,,,,,,,,,,,,,
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,pain while walking,,,,,,,,,,,,
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,,,,,,,,,,,,,
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,pain while walking,,,,,,,,,,,,
Arthritis,muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,pain while walking,,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo,nausea,head pain,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo,nausea,head pain,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo,head pain,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo,nausea,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo,nausea,head pain,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo,nausea,head pain,nausea,loss_of_balance,unsteadiness,,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo,nausea,head pain,nausea,spinning_movements,unsteadiness,,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo,nausea,head pain,nausea,spinning_movements,loss_of_balance,,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo,nausea,head pain,nausea,spinning_movements,loss_of_balance,unsteadiness,,,,,,,,,,,
(vertigo) Paroymsal  Positional Vertigo,nausea,head pain,nausea,loss_of_balance,unsteadiness,,,,,,,,,,,,
Acne,rash,pus_filled_pimples,blackheads,scurring,,,,,,,,,,,,,
Acne,rash,pus_filled_pimples,blackheads,scurring,,,,,,,,,,,,,
Acne,pus_filled_pimples,blackheads,scurring,,,,,,,,,,,,,,
Acne,rash,blackheads,scurring,,,,,,,,,,,,,,
Acne,rash,pus_filled_pimples,scurring,,,,,,,,,,,,,,
Acne,rash,pus_filled_pimples,blackheads,,,,,,,,,,,,,,
Acne,rash,pus_filled_pimples,blackheads,scurring,,,,,,,,,,,,,
Acne,rash,pus_filled_pimples,blackheads,,,,,,,,,,,,,,
Acne,rash,pus_filled_pimples,scurring,,,,,,,,,,,,,,
Acne,rash,blackheads,scurring,,,,,,,,,,,,,,
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine,,,,,,,,,,,,,
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine,,,,,,,,,,,,,
Urinary tract infection,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine,,,,,,,,,,,,,,
Urinary tract infection,burning_micturition,foul_smell_of urine,continuous_feel_of_urine,,,,,,,,,,,,,,
Urinary tract infection,burning_micturition,bladder_discomfort,continuous_feel_of_urine,,,,,,,,,,,,,,
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,,,,,,,,,,,,,,
Urinary tract infection,burning_micturition,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine,,,,,,,,,,,,,
Urinary tract infection,burning_micturition,bladder_discomfort,continuous_feel_of_urine,,,,,,,,,,,,,,
Urinary tract infection,bladder_discomfort,foul_smell_of urine,continuous_feel_of_urine,,,,,,,,,,,,,,
Urinary tract infection,burning_micturition,bladder_discomfort,continuous_feel_of_urine,,,,,,,,,,,,,,
Psoriasis,rash,joint ache,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails,,,,,,,,,,,
Psoriasis,rash,joint ache,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails,,,,,,,,,,,
Psoriasis,joint ache,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails,,,,,,,,,,,,
Psoriasis,rash,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails,,,,,,,,,,,,
Psoriasis,rash,joint ache,silver_like_dusting,small_dents_in_nails,inflammatory_nails,,,,,,,,,,,,
Psoriasis,rash,joint ache,skin_peeling,small_dents_in_nails,inflammatory_nails,,,,,,,,,,,,
Psoriasis,rash,joint ache,skin_peeling,silver_like_dusting,inflammatory_nails,,,,,,,,,,,,
Psoriasis,rash,joint ache,skin_peeling,silver_like_dusting,small_dents_in_nails,,,,,,,,,,,,
Psoriasis,rash,joint ache,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails,,,,,,,,,,,
Psoriasis,rash,joint ache,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails,,,,,,,,,,,
Impetigo,rash,fever,blister,red_sore_around_nose,yellow_crust_ooze,,,,,,,,,,,,
Impetigo,rash,fever,blister,red_sore_around_nose,yellow_crust_ooze,,,,,,,,,,,,
Impetigo,fever,blister,red_sore_around_nose,yellow_crust_ooze,,,,,,,,,,,,,
Impetigo,rash,blister,red_sore_around_nose,yellow_crust_ooze,,,,,,,,,,,,,
Impetigo,rash,blister,red_sore_around_nose,yellow_crust_ooze,,,,,,,,,,,,,
Impetigo,rash,fever,red_sore_around_nose,yellow_crust_ooze,,,,,,,,,,,,,
Impetigo,rash,fever,blister,yellow_crust_ooze,,,,,,,,,,,,,
Impetigo,rash,fever,blister,red_sore_around_nose,,,,,,,,,,,,,
Impetigo,rash,fever,blister,red_sore_around_nose,yellow_crust_ooze,,,,,,,,,,,,
Impetigo,rash,blister,red_sore_around_nose,yellow_crust_ooze,,,,,,,,,,,,,
Fungal infection,itchy skin,rash,skin bumps,skin discoloration,,,,,,,,,,,,,
Fungal infection,rash,skin bumps,skin discoloration,,,,,,,,,,,,,,
Fungal infection,itchy skin,skin bumps,skin discoloration,,,,,,,,,,,,,,
Fungal infection,itchy skin,rash,skin discoloration,,,,,,,,,,,,,,
Fungal infection,itchy skin,rash,skin bumps,,,,,,,,,,,,,,
Fungal infection,rash,skin bumps,skin discoloration,,,,,,,,,,,,,,
Fungal infection,itchy skin,skin bumps,skin discoloration,,,,,,,,,,,,,,
Fungal infection,itchy skin,rash,skin discoloration,,,,,,,,,,,,,,
Fungal infection,itchy skin,rash,skin bumps,,,,,,,,,,,,,,
Fungal infection,itchy skin,rash,skin bumps,skin discoloration,,,,,,,,,,,,,
Allergy,sneezing,chills,cold chills,watery eyes,,,,,,,,,,,,,
Allergy,chills,cold chills,watery eyes,,,,,,,,,,,,,,
Allergy,sneezing,cold chills,watery eyes,,,,,,,,,,,,,,
Allergy,sneezing,chills,watery eyes,,,,,,,,,,,,,,
Allergy,sneezing,chills,cold chills,,,,,,,,,,,,,,
Allergy,chills,cold chills,watery eyes,,,,,,,,,,,,,,
Allergy,sneezing,cold chills,watery eyes,,,,,,,,,,,,,,
Allergy,sneezing,chills,watery eyes,,,,,,,,,,,,,,
Allergy,sneezing,chills,cold chills,,,,,,,,,,,,,,
Allergy,sneezing,chills,cold chills,watery eyes,,,,,,,,,,,,,
GERD,abdominal pain,acidity,tongue ulcers,nausea,coughing,chest discomfort,,,,,,,,,,,
GERD,abdominal pain,tongue ulcers,nausea,coughing,chest discomfort,,,,,,,,,,,,
GERD,abdominal pain,acidity,nausea,coughing,chest discomfort,,,,,,,,,,,,
GERD,abdominal pain,acidity,tongue ulcers,coughing,chest discomfort,,,,,,,,,,,,
GERD,abdominal pain,acidity,tongue ulcers,nausea,chest discomfort,,,,,,,,,,,,
GERD,abdominal pain,acidity,tongue ulcers,nausea,coughing,,,,,,,,,,,,
GERD,acidity,tongue ulcers,nausea,coughing,chest discomfort,,,,,,,,,,,,
GERD,abdominal pain,tongue ulcers,nausea,coughing,chest discomfort,,,,,,,,,,,,
GERD,abdominal pain,acidity,nausea,coughing,chest discomfort,,,,,,,,,,,,
GERD,abdominal pain,acidity,tongue ulcers,coughing,chest discomfort,,,,,,,,,,,,
Chronic cholestasis,itchy skin,nausea,yellow skin,nausea,reduced appetite,stomach pain,yellowing_of_eyes,,,,,,,,,,
Chronic cholestasis,nausea,yellow skin,nausea,reduced appetite,stomach pain,yellowing_of_eyes,,,,,,,,,,,
Chronic cholestasis,itchy skin,yellow skin,nausea,reduced appetite,stomach pain,yellowing_of_eyes,,,,,,,,,,,
Chronic cholestasis,itchy skin,nausea,nausea,reduced appetite,stomach pain,yellowing_of_eyes,,,,,,,,,,,
Chronic cholestasis,itchy skin,nausea,yellow skin,reduced appetite,stomach pain,yellowing_of_eyes,,,,,,,,,,,
Chronic cholestasis,itchy skin,nausea,yellow skin,nausea,stomach pain,yellowing_of_eyes,,,,,,,,,,,
Chronic cholestasis,itchy skin,nausea,yellow skin,nausea,reduced appetite,yellowing_of_eyes,,,,,,,,,,,
Chronic cholestasis,itchy skin,nausea,yellow skin,nausea,reduced appetite,stomach pain,,,,,,,,,,,
Chronic cholestasis,itchy skin,nausea,yellow skin,nausea,reduced appetite,stomach pain,yellowing_of_eyes,,,,,,,,,,
Chronic cholestasis,itchy skin,nausea,yellow skin,nausea,reduced appetite,stomach pain,yellowing_of_eyes,,,,,,,,,,
Drug Reaction,itchy skin,rash,abdominal pain,burning_micturition,spotting_ urination,,,,,,,,,,,,
Drug Reaction,itchy skin,abdominal pain,burning_micturition,spotting_ urination,,,,,,,,,,,,,
Drug Reaction,itchy skin,rash,burning_micturition,spotting_ urination,,,,,,,,,,,,,
Drug Reaction,itchy skin,rash,abdominal pain,spotting_ urination,,,,,,,,,,,,,
Drug Reaction,itchy skin,rash,abdominal pain,burning_micturition,,,,,,,,,,,,,
Drug Reaction,rash,abdominal pain,burning_micturition,spotting_ urination,,,,,,,,,,,,,
Drug Reaction,itchy skin,abdominal pain,burning_micturition,spotting_ urination,,,,,,,,,,,,,
Drug Reaction,itchy skin,rash,burning_micturition,spotting_ urination,,,,,,,,,,,,,
Drug Reaction,itchy skin,rash,abdominal pain,spotting_ urination,,,,,,,,,,,,,
Drug Reaction,itchy skin,rash,abdominal pain,burning_micturition,,,,,,,,,,,,,
Peptic ulcer diseae,nausea,reduced appetite,stomach pain,passage_of_gases,internal_itching,,,,,,,,,,,,
Peptic ulcer diseae,nausea,indigestion,stomach pain,passage_of_gases,internal_itching,,,,,,,,,,,,
Peptic ulcer diseae,indigestion,reduced appetite,stomach pain,passage_of_gases,internal_itching,,,,,,,,,,,,
Peptic ulcer diseae,nausea,reduced appetite,stomach pain,passage_of_gases,internal_itching,,,,,,,,,,,,
Peptic ulcer diseae,nausea,indigestion,stomach pain,passage_of_gases,internal_itching,,,,,,,,,,,,
Peptic ulcer diseae,nausea,indigestion,reduced appetite,passage_of_gases,internal_itching,,,,,,,,,,,,
Peptic ulcer diseae,nausea,indigestion,reduced appetite,stomach pain,internal_itching,,,,,,,,,,,,
Peptic ulcer diseae,nausea,indigestion,reduced appetite,stomach pain,passage_of_gases,,,,,,,,,,,,
Peptic ulcer diseae,nausea,indigestion,reduced appetite,stomach pain,passage_of_gases,internal_itching,,,,,,,,,,,
Peptic ulcer diseae,nausea,indigestion,reduced appetite,stomach pain,passage_of_gases,internal_itching,,,,,,,,,,,
AIDS,muscle_wasting,patches_in_throat,fever,unprotected sex,,,,,,,,,,,,,
AIDS,patches_in_throat,fever,unprotected sex,,,,,,,,,,,,,,
AIDS,muscle_wasting,fever,unprotected sex,,,,,,,,,,,,,,
AIDS,muscle_wasting,patches_in_throat,unprotected sex,,,,,,,,,,,,,,
AIDS,muscle_wasting,patches_in_throat,fever,,,,,,,,,,,,,,
AIDS,muscle_wasting,patches_in_throat,fever,unprotected sex,,,,,,,,,,,,,
AIDS,muscle_wasting,patches_in_throat,fever,unprotected sex,,,,,,,,,,,,,
AIDS,patches_in_throat,fever,unprotected sex,,,,,,,,,,,,,,
AIDS,muscle_wasting,fever,unprotected sex,,,,,,,,,,,,,,
AIDS,muscle_wasting,patches_in_throat,fever,,,,,,,,,,,,,,
Diabetes ,fatigue,weight_loss,restlessness,tiredness,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,
Diabetes ,fatigue,weight_loss,restlessness,tiredness,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,
Diabetes ,weight_loss,restlessness,tiredness,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,
Diabetes ,fatigue,restlessness,tiredness,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,
Diabetes ,fatigue,weight_loss,tiredness,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,
Diabetes ,fatigue,weight_loss,restlessness,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,
Diabetes ,fatigue,weight_loss,restlessness,tiredness,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,
Diabetes ,fatigue,weight_loss,restlessness,tiredness,irregular_sugar_level,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,
Diabetes ,fatigue,weight_loss,restlessness,tiredness,irregular_sugar_level,blurred_and_distorted_vision,excessive_hunger,increased_appetite,polyuria,,,,,,,,
Diabetes ,fatigue,weight_loss,restlessness,tiredness,irregular_sugar_level,blurred_and_distorted_vision,obesity,increased_appetite,polyuria,,,,,,,,
Gastroenteritis,nausea,sunken_eyes,dehydration,diarrhoea,,,,,,,,,,,,,
Gastroenteritis,nausea,sunken_eyes,dehydration,diarrhoea,,,,,,,,,,,,,
Gastroenteritis,sunken_eyes,dehydration,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,nausea,dehydration,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,nausea,sunken_eyes,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,nausea,sunken_eyes,dehydration,,,,,,,,,,,,,,
Gastroenteritis,nausea,sunken_eyes,dehydration,diarrhoea,,,,,,,,,,,,,
Gastroenteritis,sunken_eyes,dehydration,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,nausea,dehydration,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,nausea,sunken_eyes,diarrhoea,,,,,,,,,,,,,,
Bronchial Asthma,fatigue,coughing,fever,shortness of breath,family_history,mucoid_sputum,,,,,,,,,,,
Bronchial Asthma,coughing,fever,shortness of breath,family_history,mucoid_sputum,,,,,,,,,,,,
Bronchial Asthma,fatigue,fever,shortness of breath,family_history,mucoid_sputum,,,,,,,,,,,,
Bronchial Asthma,fatigue,coughing,shortness of breath,family_history,mucoid_sputum,,,,,,,,,,,,
Bronchial Asthma,fatigue,coughing,fever,family_history,mucoid_sputum,,,,,,,,,,,,
Bronchial Asthma,fatigue,coughing,fever,shortness of breath,mucoid_sputum,,,,,,,,,,,,
Bronchial Asthma,fatigue,coughing,fever,shortness of breath,family_history,,,,,,,,,,,,
Bronchial Asthma,fatigue,coughing,fever,shortness of breath,family_history,mucoid_sputum,,,,,,,,,,,
Bronchial Asthma,coughing,fever,shortness of breath,family_history,mucoid_sputum,,,,,,,,,,,,
Bronchial Asthma,fatigue,fever,shortness of breath,family_history,mucoid_sputum,,,,,,,,,,,,
Hypertension ,head pain,chest discomfort,dizziness,loss_of_balance,lack_of_concentration,,,,,,,,,,,,
Hypertension ,chest discomfort,dizziness,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,
Hypertension ,head pain,dizziness,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,
Hypertension ,head pain,chest discomfort,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,
Hypertension ,head pain,chest discomfort,dizziness,lack_of_concentration,,,,,,,,,,,,,
Hypertension ,head pain,chest discomfort,dizziness,loss_of_balance,,,,,,,,,,,,,
Hypertension ,head pain,chest discomfort,dizziness,loss_of_balance,lack_of_concentration,,,,,,,,,,,,
Hypertension ,chest discomfort,dizziness,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,
Hypertension ,head pain,dizziness,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,
Hypertension ,head pain,chest discomfort,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,
Migraine,acidity,indigestion,head pain,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,,,,,,,,
Migraine,indigestion,head pain,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,,,,,,,,,
Migraine,acidity,head pain,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,,,,,,,,,
Migraine,acidity,indigestion,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,,,,,,,,,
Migraine,acidity,indigestion,head pain,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,,,,,,,,,
Migraine,acidity,indigestion,head pain,blurred_and_distorted_vision,stiff_neck,depression,irritability,visual_disturbances,,,,,,,,,
Migraine,acidity,indigestion,head pain,blurred_and_distorted_vision,excessive_hunger,depression,irritability,visual_disturbances,,,,,,,,,
Migraine,acidity,indigestion,head pain,blurred_and_distorted_vision,excessive_hunger,stiff_neck,irritability,visual_disturbances,,,,,,,,,
Migraine,acidity,indigestion,head pain,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,visual_disturbances,,,,,,,,,
Migraine,acidity,indigestion,head pain,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,,,,,,,,,
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,,,,,,,,,,,,
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,,,,,,,,,,,,
Cervical spondylosis,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,,,,,,,,,,,,,
Cervical spondylosis,back_pain,neck_pain,dizziness,loss_of_balance,,,,,,,,,,,,,
Cervical spondylosis,back_pain,weakness_in_limbs,dizziness,loss_of_balance,,,,,,,,,,,,,
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,loss_of_balance,,,,,,,,,,,,,
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,,,,,,,,,,,,,
Cervical spondylosis,back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,,,,,,,,,,,,
Cervical spondylosis,weakness_in_limbs,neck_pain,dizziness,loss_of_balance,,,,,,,,,,,,,
Cervical spondylosis,back_pain,neck_pain,dizziness,loss_of_balance,,,,,,,,,,,,,
Paralysis (brain hemorrhage),nausea,head pain,body weakness,altered_sensorium,,,,,,,,,,,,,
Paralysis (brain hemorrhage),nausea,head pain,body weakness,altered_sensorium,,,,,,,,,,,,,
Paralysis (brain hemorrhage),head pain,body weakness,altered_sensorium,,,,,,,,,,,,,,
